t_ns,id,duration_ns
14562832400,step.unity.e2e,200618200
14562927800,step.socket.send,12200
14762551300,step.socket.parse,439700
14762551300,step.socket.wait,199709400
14762600000,step.unity.apply,28300
14762600000,step.unity.e2e,199758100
14762675900,step.socket.send,9900
14962532300,step.socket.parse,426000
14962532300,step.socket.wait,199925500
14962599600,step.unity.apply,42100
14962599600,step.unity.e2e,199992800
14962670200,step.socket.send,8300
15162674600,step.socket.parse,388300
15162674600,step.socket.wait,200067500
15162737300,step.unity.apply,38800
15162737300,step.unity.e2e,200130200
15162812300,step.socket.send,7500
15362428300,step.socket.parse,375300
15362428300,step.socket.wait,199674600
15362473300,step.unity.apply,24000
15362473300,step.unity.e2e,199719600
15362540500,step.socket.send,8100
15562303700,step.socket.parse,408300
15562303700,step.socket.wait,199822500
15562372300,step.unity.apply,39200
15562372300,step.unity.e2e,199891100
15562449400,step.socket.send,9700
15763075700,step.socket.parse,564800
15763075700,step.socket.wait,200697300
15763138400,step.unity.apply,37100
15763138400,step.unity.e2e,200760000
15763231500,step.socket.send,10900
15962183000,step.socket.parse,365800
15962183000,step.socket.wait,199037000
15962231500,step.unity.apply,29900
15962231500,step.unity.e2e,199085500
15962299400,step.socket.send,7800
16153616400,step.socket.parse,378800
16153616400,step.socket.wait,191379000
16153673000,step.unity.apply,30100
16153673000,step.unity.e2e,191435600
16153744900,step.socket.send,8600
16355620800,step.socket.parse,405300
16355620800,step.socket.wait,201941100
16355678000,step.unity.apply,29100
16355678000,step.unity.e2e,201998300
16355739400,step.socket.send,8700
16571950000,step.socket.parse,427400
16571950000,step.socket.wait,216265500
16571999700,step.unity.apply,29000
16571999700,step.unity.e2e,216315200
16572061200,step.socket.send,8800
16762087300,step.socket.parse,369900
16762087300,step.socket.wait,190081300
16762132400,step.unity.apply,26200
16762132400,step.unity.e2e,190126400
16762202900,step.socket.send,10000
16962220600,step.socket.parse,402300
16962220600,step.socket.wait,200082100
16962278500,step.unity.apply,32200
16962278500,step.unity.e2e,200140000
16962346400,step.socket.send,8300
17161767200,step.socket.parse,394100
17161767200,step.socket.wait,199482600
17161828800,step.unity.apply,38100
17161828800,step.unity.e2e,199544200
17161895100,step.socket.send,7900
17362333600,step.socket.parse,444000
17362333600,step.socket.wait,200498000
17362394000,step.unity.apply,33900
17362394000,step.unity.e2e,200558400
17362465800,step.socket.send,9200
17562574000,step.socket.parse,541300
17562574000,step.socket.wait,200174100
17562658400,step.unity.apply,47200
17562658400,step.unity.e2e,200258500
17562753800,step.socket.send,15800
17764395800,step.socket.parse,875400
17764395800,step.socket.wait,201727500
17764484100,step.unity.apply,51000
17764484100,step.unity.e2e,201815800
17764626000,step.socket.send,21200
17962127200,step.socket.parse,387200
17962127200,step.socket.wait,197628900
17962223400,step.unity.apply,57300
17962223400,step.unity.e2e,197725100
17962305800,step.socket.send,9100
18161793600,step.socket.parse,381500
18161793600,step.socket.wait,199556200
18161850800,step.unity.apply,32700
18161850800,step.unity.e2e,199613400
18161915000,step.socket.send,7800
18362500400,step.socket.parse,465500
18362500400,step.socket.wait,200643200
18362567000,step.unity.apply,38500
18362567000,step.unity.e2e,200709800
18362636000,step.socket.send,9600
18561978900,step.socket.parse,428400
18561978900,step.socket.wait,199405100
18562028900,step.unity.apply,29000
18562028900,step.unity.e2e,199455100
18562103200,step.socket.send,8900
18762561500,step.socket.parse,450300
18762561500,step.socket.wait,200516600
18762624800,step.unity.apply,35700
18762624800,step.unity.e2e,200579900
18762701300,step.socket.send,10500
18962574900,step.socket.parse,445700
18962574900,step.socket.wait,199943000
18962639900,step.unity.apply,39200
18962639900,step.unity.e2e,200008000
18962706800,step.socket.send,8600
19162212200,step.socket.parse,412100
19162212200,step.socket.wait,199563600
19162272200,step.unity.apply,32100
19162272200,step.unity.e2e,199623600
19162335100,step.socket.send,8300
19362731400,step.socket.parse,392200
19362731400,step.socket.wait,200452700
19362790300,step.unity.apply,32700
19362790300,step.unity.e2e,200511600
19362851000,step.socket.send,8300
19563890000,step.socket.parse,495000
19563890000,step.socket.wait,201093000
19563959600,step.unity.apply,37000
19563959600,step.unity.e2e,201162600
19564025600,step.socket.send,9600
19762867000,step.socket.parse,424400
19762867000,step.socket.wait,198899900
19762937300,step.unity.apply,34500
19762937300,step.unity.e2e,198970200
19763071100,step.socket.send,8800
19962905500,step.socket.parse,360800
19962905500,step.socket.wait,199904200
19962968500,step.unity.apply,40000
19962968500,step.unity.e2e,199967200
19963042200,step.socket.send,7900
20163023200,step.socket.parse,468500
20163023200,step.socket.wait,200046200
20163096000,step.unity.apply,39400
20163096000,step.unity.e2e,200119000
20163199600,step.socket.send,14500
20353404800,step.socket.parse,450400
20353404800,step.socket.wait,190301500
20353455900,step.unity.apply,27200
20353455900,step.unity.e2e,190352600
20353533100,step.socket.send,13000
20555491600,step.socket.parse,487200
20555491600,step.socket.wait,202028700
20555543300,step.unity.apply,29100
20555543300,step.unity.e2e,202080400
20555612100,step.socket.send,10000
20771373300,step.socket.parse,446100
20771373300,step.socket.wait,215822900
20771425700,step.unity.apply,27900
20771425700,step.unity.e2e,215875300
20771496200,step.socket.send,10800
20970513400,step.socket.parse,412900
20970513400,step.socket.wait,199081400
20970574900,step.unity.apply,36300
20970574900,step.unity.e2e,199142900
20970641400,step.socket.send,8900
21171923000,step.socket.parse,427500
21171923000,step.socket.wait,201333800
21171980800,step.unity.apply,36600
21171980800,step.unity.e2e,201391600
21172054400,step.socket.send,10000
21362315900,step.socket.parse,411700
21362315900,step.socket.wait,190327700
21362368100,step.unity.apply,25600
21362368100,step.unity.e2e,190379900
21362453600,step.socket.send,11900
21562965000,step.socket.parse,523300
21562965000,step.socket.wait,200589400
21563036300,step.unity.apply,41200
21563036300,step.unity.e2e,200660700
21563109300,step.socket.send,10800
21762296100,step.socket.parse,486700
21762296100,step.socket.wait,199252400
21762377100,step.unity.apply,49500
21762377100,step.unity.e2e,199333400
21762451900,step.socket.send,9400
21962243100,step.socket.parse,433500
21962243100,step.socket.wait,199857900
21962305800,step.unity.apply,37000
21962305800,step.unity.e2e,199920600
21962374200,step.socket.send,8200
22162159600,step.socket.parse,395100
22162159600,step.socket.wait,199847200
22162223800,step.unity.apply,34000
22162223800,step.unity.e2e,199911400
22162298300,step.socket.send,8800
22362337900,step.socket.parse,392900
22362337900,step.socket.wait,200100300
22362381600,step.unity.apply,24900
22362381600,step.unity.e2e,200144000
22362447700,step.socket.send,8500
22562039000,step.socket.parse,369800
22562039000,step.socket.wait,199651400
22562098700,step.unity.apply,34700
22562098700,step.unity.e2e,199711100
22562184800,step.socket.send,9600
22762581800,step.socket.parse,395200
22762581800,step.socket.wait,200476400
22762640700,step.unity.apply,33600
22762640700,step.unity.e2e,200535300
22762707500,step.socket.send,8500
22962450900,step.socket.parse,445200
22962450900,step.socket.wait,199803400
22962520300,step.unity.apply,40300
22962520300,step.unity.e2e,199872800
22962593500,step.socket.send,8900
23162956900,step.socket.parse,382400
23162956900,step.socket.wait,200429400
23163000700,step.unity.apply,25700
23163000700,step.unity.e2e,200473200
23163070300,step.socket.send,7700
23362288100,step.socket.parse,378100
23362288100,step.socket.wait,199272300
23362331400,step.unity.apply,24800
23362331400,step.unity.e2e,199315600
23362393900,step.socket.send,7900
23563611800,step.socket.parse,487500
23563611800,step.socket.wait,201274400
23563679200,step.unity.apply,37900
23563679200,step.unity.e2e,201341800
23563760000,step.socket.send,9300
23764621300,step.socket.parse,719500
23764621300,step.socket.wait,200934700
23764697500,step.unity.apply,44900
23764697500,step.unity.e2e,201010900
23764810900,step.socket.send,15800
23963406700,step.socket.parse,449000
23963406700,step.socket.wait,198697900
23963475100,step.unity.apply,41400
23963475100,step.unity.e2e,198766300
23963538300,step.socket.send,8400
24163132200,step.socket.parse,433400
24163132200,step.socket.wait,199650700
24163206100,step.unity.apply,39400
24163206100,step.unity.e2e,199724600
24163278400,step.socket.send,10000
24363195900,step.socket.parse,438800
24363195900,step.socket.wait,199982000
24363274800,step.unity.apply,42500
24363274800,step.unity.e2e,200060900
24363343200,step.socket.send,8100
24563237900,step.socket.parse,426200
24563237900,step.socket.wait,199956900
24563297100,step.unity.apply,34800
24563297100,step.unity.e2e,200016100
24563374800,step.socket.send,9400
24764908900,step.socket.parse,522100
24764908900,step.socket.wait,201603100
